student_id,digital_twin
80928,NO
80929,NO
80930,NO
80931,NO
80932,NO
80933,NO
80934,SI
80935,NO
80936,NO
80937,NO
80938,NO
80940,NO
80941,SI
80942,NO
80943,NO
80944,NO
80945,NO
80946,NO
80947,NO
80949,NO
80950,NO
80951,SI
80952,NO
80953,NO
80954,NO
80956,SI
80957,NO
80958,NO
80959,NO
80960,NO
80961,NO
80962,NO
80963,NO
80964,NO
80965,SI
80966,NO
80967,NO
80968,NO
80969,NO
80970,NO
80971,NO
80972,NO
80974,NO
80976,NO
80977,NO
80978,NO
80979,SI
80980,NO
80981,NO
80982,SI
80983,NO
80984,NO
80985,NO
80986,NO
80987,NO
80988,NO
